show_id,type,title,country,date_added,listed_in
s25,Movie,Jungle Cruise,United States,"November 12, 2021","Action-Adventure, Comedy, Family"
s26,Movie,Limitless with Chris Hemsworth,,"November 12, 2021",Lifestyle
s27,Movie,Marvel Studios’ 2021 Disney+ Day Special,,"November 12, 2021",Movies
s28,Movie,Obi-Wan Kenobi,,"November 12, 2021","Action-Adventure, Science Fiction"
s29,TV Show,Olaf Presents,,"November 12, 2021","Animation, Family"
s30,Movie,Paperman,United States,"November 12, 2021","Animation, Comedy, Family"
s31,Movie,Pixar 2021 Disney+ Day Special,,"November 12, 2021",Movies
s32,Movie,Shang-Chi and The Legend of The Ten Rings,"United States, Australia","November 12, 2021","Action-Adventure, Fantasy, Superhero"
s33,Movie,Spin,,"November 12, 2021","Coming of Age, Music"
s34,Movie,Tangled Ever After,United States,"November 12, 2021","Animation, Family"
s35,Movie,The Ballad of Nessie,,"November 12, 2021","Animation, Family, Fantasy"
s36,Movie,The Little Matchgirl,United States,"November 12, 2021","Animation, Drama"
s37,Movie,The Making of Happier Than Ever: A Love Letter to Los Angeles,,"November 12, 2021","Concert Film, Music"
s38,Movie,The Proud Family: Louder and Prouder,,"November 12, 2021","Animation, Comedy, Coming of Age"
s39,Movie,The Simpsons in Plusaversary,,"November 12, 2021","Animation, Comedy"
s40,Movie,Tick Tock Tale,United States,"November 12, 2021","Animation, Crime, Family"
s41,Movie,Under the Helmet: The Legacy of Boba Fett,,"November 12, 2021",Science Fiction
s42,Movie,Willow,,"November 12, 2021","Action-Adventure, Fantasy"
s43,Movie,Alvin and the Chipmunks: Chipwrecked,United States,"November 5, 2021","Comedy, Family, Music"
s44,Movie,Jingle All The Way,United States,"November 5, 2021","Comedy, Family"
s45,Movie,Jingle All the Way 2,United States,"November 5, 2021","Comedy, Family"
s46,Movie,Prep & Landing: Operation Secret Santa,,"November 5, 2021","Animation, Family, Fantasy"
s47,Movie,Santa Buddies: The Legend of Santa Paws,"United States, Canada","November 5, 2021","Comedy, Fantasy, Kids"
s48,Movie,Snow Buddies,United States,"November 5, 2021","Action-Adventure, Comedy, Kids"
s49,Movie,Space Buddies,"United States, Canada","November 5, 2021","Action-Adventure, Comedy, Kids"
s50,Movie,The Search for Santa Paws,Canada,"November 5, 2021","Drama, Family, Fantasy"
s51,Movie,X-Men: First Class,"United States, United Kingdom","November 5, 2021","Action-Adventure, Science Fiction, Superhero"
s52,TV Show,Disney Amphibia,"United States, South Korea","November 3, 2021","Animation, Comedy, Family"
s53,TV Show,Photo Ark,United States,"November 3, 2021","Animals & Nature, Docuseries, Family"
s54,TV Show,Storm Rising,,"November 3, 2021","Action-Adventure, Animals & Nature, Docuseries"
s55,Movie,Bob Ballard: An Explorer's Life,,"October 29, 2021","Biographical, Documentary"
s56,Movie,"McFarland, USA",United States,"October 29, 2021","Drama, Sports"
s57,Movie,Rookie of the Year,United States,"October 22, 2021","Comedy, Family, Sports"
s58,Movie,Thumbelina,"Ireland, United States, Canada, United Kingdom, Denmark, Spain, Poland, Hungary","October 22, 2021","Animation, Family, Fantasy"
s59,TV Show,PJ Masks,"France, United Kingdom","October 20, 2021","Action-Adventure, Animation, Kids"
s60,TV Show,The Wild Life of Dr. Ole,,"October 20, 2021","Animals & Nature, Reality"
s61,Movie,Lost Cities with Albert Lin: The Great Flood,,"October 15, 2021","Documentary, Historical"
s62,Movie,Megacity of the Maya Warriors,,"October 15, 2021",Documentary
s63,TV Show,Apollo: Back To The Moon,,"October 13, 2021","Docuseries, Historical"
s64,TV Show,Just Beyond,,"October 13, 2021","Anthology, Comedy, Coming of Age"
s65,TV Show,Secrets Of The Zoo: Down Under,,"October 13, 2021","Animals & Nature, Docuseries, Family"
s66,TV Show,Secrets of the Zoo: North Carolina,,"October 13, 2021",Reality
s67,TV Show,The Wizard of Paws,,"October 13, 2021","Animals & Nature, Docuseries, Medical"
s68,TV Show,Zombies: Addison's Moonstone Mystery,,"October 13, 2021","Animation, Coming of Age, Fantasy"
s69,Movie,Just Roll With It: You Decide Live!,,"October 8, 2021",Comedy
s70,Movie,Mickey's Tale of Two Witches,,"October 8, 2021","Animation, Family, Fantasy"
s71,Movie,Muppets Haunted Mansion,,"October 8, 2021","Comedy, Family, Musical"
s72,Movie,The Most Magical Story on Earth: 50 Years of Walt Disney World,,"October 8, 2021","Family, Variety"
s73,Movie,Under Wraps,,"October 8, 2021","Action-Adventure, Comedy, Kids"
s74,TV Show,Among the Stars,,"October 6, 2021",Docuseries
s75,Movie,Black Widow,United States,"October 6, 2021","Action-Adventure, Science Fiction, Spy/Espionage"
s76,TV Show,Drain the Oceans,"United Kingdom, Australia","October 6, 2021","Docuseries, Historical"
s77,TV Show,Drain The Oceans: The Mississippi River & Arctic War,,"October 6, 2021","Docuseries, Historical"
s78,Movie,Fauci,United States,"October 6, 2021","Biographical, Documentary"
s79,TV Show,IMPACT with Gal Gadot,United States,"October 6, 2021",Docuseries
s80,TV Show,The Ghost and Molly McGee,United States,"October 6, 2021","Animation, Buddy, Coming of Age"
s81,Movie,Alvin and the Chipmunks,United States,"October 1, 2021","Animation, Comedy, Family"
s82,Movie,Alvin and the Chipmunks: The Road Chip,United States,"October 1, 2021","Comedy, Family, Music"
s83,Movie,LEGO Star Wars Terrifying Tales,,"October 1, 2021","Action-Adventure, Animation, Science Fiction"
s84,Movie,Maleficent,"United States, United Kingdom","October 1, 2021","Action-Adventure, Family, Fantasy"
s85,Movie,The Scariest Story Ever: A Mickey Mouse Halloween Spooktacular,,"October 1, 2021","Animation, Family, Parody"
s86,TV Show,Disney Vampirina,"Ireland, United States","September 29, 2021","Animation, Fantasy, Kids"
s87,TV Show,Disney's Magic Bake-Off,United States,"September 29, 2021","Family, Game Show / Competition"
s88,TV Show,Great Barrier Reef,,"September 29, 2021","Animals & Nature, Docuseries"
s89,TV Show,Ready for Preschool,,"September 29, 2021","Kids, Music"
s90,TV Show,Rolie Polie Olie,"Canada, United States, France","September 29, 2021","Animation, Science Fiction"
s91,TV Show,Star Wars Galaxy of Sounds,,"September 29, 2021","Animation, Anthology, Science Fiction"
s92,TV Show,The Hatcher Family Dairy,,"September 29, 2021","Animals & Nature, Docuseries, Reality"
s93,TV Show,The Simpsons,United States,"September 29, 2021","Animation, Comedy"
s94,Movie,A Spark Story,,"September 24, 2021",Documentary
s95,Movie,Spooky Buddies,"United States, Canada","September 24, 2021","Comedy, Fantasy, Kids"
s96,Movie,The Fault in Our Stars,United States,"September 24, 2021","Coming of Age, Drama, Romance"
s97,TV Show,Dog: Impossible,United States,"September 22, 2021","Animals & Nature, Docuseries, Family"
s98,TV Show,Spidey And His Amazing Friends,United States,"September 22, 2021","Action-Adventure, Animation, Kids"
s99,TV Show,Star Wars: Visions,,"September 22, 2021","Action-Adventure, Animation, Anime"
s100,Movie,Confessions of a Shopaholic,United States,"September 17, 2021","Comedy, Romance, Romantic Comedy"
s101,Movie,Descendants: Royal Wedding,,"September 17, 2021","Animation, Fantasy, Musical"
s102,Movie,Disney's Broadway Hits at London's Royal Albert Hall,,"September 17, 2021","Concert Film, Music"
s103,Movie,Flooded Tombs of the Nile,,"September 17, 2021",Documentary
s104,Movie,Jade Eyed Leopard,,"September 17, 2021","Animals & Nature, Documentary"
s105,Movie,Nona,,"September 17, 2021","Animation, Comedy, Family"
s106,Movie,Smoky Mountain Park Rangers,,"September 17, 2021","Animals & Nature, Documentary"
s107,TV Show,Life Below Zero,United States,"September 15, 2021","Action-Adventure, Animals & Nature, Docuseries"
s108,TV Show,Miraculous: Tales Of Ladybug & Cat Noir,"France, South Korea, Japan, United States","September 15, 2021","Action-Adventure, Animation, Fantasy"
s109,TV Show,Unknown Waters with Jeremy Wade,,"September 15, 2021","Animals & Nature, Docuseries"
s110,Movie,Far Away From Raven’s Home,,"September 10, 2021",Comedy
s111,Movie,Pirates of the Caribbean: On Stranger Tides,"United States, United Kingdom","September 10, 2021","Action-Adventure, Fantasy"
s112,Movie,Twenty Something,United States,"September 10, 2021","Animation, Family"
s113,TV Show,"Doogie Kamealoha, M.D.",United States,"September 8, 2021","Comedy, Coming of Age, Family"
s114,TV Show,"Mira, Royal Detective",United States,"September 8, 2021","Animation, Fantasy, Kids"
s115,TV Show,Pepper Ann,United States,"September 8, 2021","Animation, Comedy, Coming of Age"
s116,TV Show,The Incredible Dr. Pol,United States,"September 8, 2021","Animals & Nature, Docuseries, Family"
s117,Movie,Happier Than Ever: A Love Letter to Los Angeles,United States,"September 3, 2021","Concert Film, Music"
s118,Movie,X-Men: Dark Phoenix,"United States, Canada","September 3, 2021","Action-Adventure, Family, Science Fiction"
s119,TV Show,Alaska Animal Rescue,United States,"September 1, 2021","Animals & Nature, Docuseries, Family"
s120,TV Show,Dug Days,United States,"September 1, 2021","Animation, Comedy, Family"
s121,Movie,Cruella,"United States, United Kingdom","August 27, 2021","Crime, Drama"
s122,Movie,Dan in Real Life,United States,"August 27, 2021","Comedy, Drama, Romance"
s123,Movie,Disney Princess Remixed - An Ultimate Princess Celebration,,"August 27, 2021","Family, Music, Variety"
s124,Movie,Marvel One-Shot: All Hail the King,United States,"August 27, 2021","Comedy, Drama, Thriller"
s125,Movie,Underdog,United States,"August 27, 2021","Action-Adventure, Family, Parody"
s126,TV Show,Dr. K's Exotic Animal ER,,"August 25, 2021","Animals & Nature, Docuseries, Family"
s127,TV Show,Gigantosaurus,France,"August 25, 2021","Action-Adventure, Animation, Kids"
s128,TV Show,Life Below Zero: Next Generation,United States,"August 25, 2021","Action-Adventure, Animals & Nature, Docuseries"
s129,Movie,Eragon,"United States, United Kingdom, Hungary","August 20, 2021","Action-Adventure, Family, Fantasy"
s130,TV Show,Growing Up Animal,,"August 18, 2021","Animals & Nature, Docuseries, Family"
s131,Movie,Fantastic Four,"United States, Germany","August 13, 2021","Action-Adventure, Family, Science Fiction"
s132,Movie,X-Men,United States,"August 13, 2021","Action-Adventure, Family, Science Fiction"
s133,TV Show,America's Funniest Home Videos: Animal Edition,,"August 11, 2021",Reality
s134,TV Show,Chicken Squad,United States,"August 11, 2021","Animation, Kids, Police/Cop"
s135,TV Show,Disney Presents Goofy in How to Stay at Home,,"August 11, 2021","Animation, Comedy, Family"
s136,TV Show,Gabby Duran And The Unsittables,United States,"August 11, 2021","Comedy, Family, Science Fiction"
s137,TV Show,What If...?,,"August 11, 2021","Action-Adventure, Animation, Anthology"
s138,Movie,Beverly Hills Chihuahua 2,United States,"August 6, 2021","Action-Adventure, Comedy, Family"
s139,Movie,Beverly Hills Chihuahua 3: Viva La Fiesta!,United States,"August 6, 2021","Comedy, Coming of Age, Family"
s140,Movie,Killer Shark vs Killer Whale,,"August 6, 2021","Animals & Nature, Documentary"
s141,Movie,Mrs. Doubtfire,United States,"August 6, 2021","Comedy, Drama"
s142,TV Show,Cesar Millan: Better Human Better Dog,,"August 4, 2021","Animals & Nature, Docuseries, Family"
s143,TV Show,Walt Disney Animation Studios: Short Circuit Experimental Films,,"August 4, 2021","Animation, Anthology, Family"
s144,Movie,Built for Mars: The Perseverance Rover,,"July 30, 2021",Documentary
s145,Movie,Garfield,United States,"July 30, 2021","Comedy, Family"
s146,TV Show,Chip 'n' Dale: Park Life,,"July 28, 2021","Animation, Buddy, Comedy"
s147,TV Show,Critter Fixers: Country Vets,United States,"July 28, 2021","Animals & Nature, Docuseries, Family"
s148,TV Show,Disney Junior T.O.T.S.,United States,"July 28, 2021","Animation, Buddy, Kids"
s149,TV Show,Mickey Mouse Funhouse,United States,"July 28, 2021","Animation, Kids"
s150,TV Show,Minnie's Bow-Toons: Party Palace Pals,,"July 28, 2021","Animation, Kids"
s151,TV Show,Turning the Tables with Robin Roberts,,"July 28, 2021",Talk Show
s152,Movie,Ice Age: The Meltdown,"United States, United Kingdom, Australia","July 23, 2021","Animation, Comedy, Family"
s153,Movie,Playing with Sharks,,"July 23, 2021","Animals & Nature, Biographical, Documentary"
s154,Movie,Shark vs. Surfer,,"July 23, 2021","Animals & Nature, Documentary"
s155,Movie,Shark vs. Whale,,"July 23, 2021","Animals & Nature, Documentary"
s156,Movie,Stuntman,,"July 23, 2021",Documentary
s157,Movie,Walking with Dinosaurs: The Movie,,"July 23, 2021","Action-Adventure, Family, Fantasy"
s158,Movie,What the Shark?,,"July 23, 2021","Animals & Nature, Documentary"
s159,TV Show,Behind the Attraction,,"July 21, 2021","Docuseries, Family"
s160,TV Show,Disney The Owl House,"United States, United Kingdom","July 21, 2021","Action-Adventure, Animation, Anime"
s161,TV Show,Meet Spidey and His Amazing Friends (Shorts),,"July 21, 2021","Action-Adventure, Animation, Kids"
s162,TV Show,Mission Force One,,"July 21, 2021","Action-Adventure, Animation, Kids"
s163,TV Show,Turner & Hooch,,"July 21, 2021","Action-Adventure, Buddy, Comedy"
s164,Movie,Most Wanted Sharks,,"July 16, 2021","Animals & Nature, Documentary"
s165,Movie,Secrets of the Bull Shark,,"July 16, 2021","Animals & Nature, Documentary"
s166,TV Show,Shark Attack Files,,"July 16, 2021","Animals & Nature, Docuseries, Reality"
s167,Movie,Shark Attack Investigation: The Paige Winter Story,,"July 16, 2021","Animals & Nature, Documentary"
s168,Movie,Sharkcano,,"July 16, 2021","Animals & Nature, Documentary"
s169,Movie,We Bought a Zoo,United States,"July 16, 2021","Animals & Nature, Drama, Family"
s170,Movie,World's Biggest Bullshark,,"July 16, 2021","Animals & Nature, Documentary"
s171,Movie,World's Most Dangerous Shark?,,"July 16, 2021","Animals & Nature, Documentary"
s172,TV Show,So Random!,United States,"July 14, 2021","Comedy, Coming of Age"
s173,Movie,Flicka,"United States, United Kingdom","July 9, 2021","Animals & Nature, Coming of Age, Drama"
s174,Movie,"Miraculous World: Shanghai, The Legend of Ladydragon",,"July 9, 2021","Animation, Fantasy"
s175,Movie,Orca vs. Great White,,"July 9, 2021","Animals & Nature, Documentary"
s176,Movie,Rogue Shark?,,"July 9, 2021","Animals & Nature, Documentary"
s177,Movie,Shark Beach with Chris Hemsworth,United States,"July 9, 2021","Animals & Nature, Documentary"
s178,Movie,Shark Gangs,,"July 9, 2021","Animals & Nature, Documentary"
s179,Movie,The Croc That Ate Jaws,,"July 9, 2021","Animals & Nature, Documentary"
s180,TV Show,When Sharks Attack,United States,"July 9, 2021",Reality
s181,TV Show,Breaking Bobby Bones,United States,"July 7, 2021","Action-Adventure, Docuseries, Reality"
s182,TV Show,Mickey Mouse Mixed-Up Adventures,United States,"July 7, 2021","Animation, Kids, Sports"
s183,TV Show,Monsters at Work,United States,"July 7, 2021","Animation, Comedy, Family"
s184,Movie,"The Good, The Bart, and The Loki",,"July 7, 2021","Animation, Comedy, Fantasy"
s185,TV Show,Disney Raven's Home,United States,"July 2, 2021","Comedy, Family, Fantasy"
s186,Movie,The Sandlot,United States,"July 2, 2021","Comedy, Coming of Age, Family"
s187,Movie,The Sandlot 2,United States,"July 2, 2021","Comedy, Sports"
s188,Movie,Adventures in Babysitting,United States,"June 25, 2021","Action-Adventure, Comedy, Coming of Age"
s189,TV Show,Running Wild with Bear Grylls,United States,"June 25, 2021","Action-Adventure, Reality, Survival"
s190,TV Show,The Mysterious Benedict Society,United States,"June 25, 2021","Action-Adventure, Family"
s191,Movie,Wolfgang,,"June 25, 2021","Biographical, Documentary"
s192,TV Show,Dino Ranch,Canada,"June 18, 2021","Animation, Kids, Western"
s193,TV Show,Disney Just Roll With It,United States,"June 18, 2021","Comedy, Family"
s194,TV Show,"Heartland Docs, DVM",United States,"June 18, 2021","Animals & Nature, Docuseries, Family"
s195,Movie,Luca,United States,"June 18, 2021","Animation, Buddy, Coming of Age"
s196,TV Show,Star Wars Vintage: Droids,,"June 18, 2021","Action-Adventure, Animation, Fantasy"
s197,TV Show,Puppy Dog Pals,"United States, India","June 11, 2021","Animation, Kids"
s198,Movie,Strange Magic,"United States, Canada, United Kingdom, Singapore, Australia, Thailand","June 11, 2021","Action-Adventure, Animation, Family"
s199,Movie,The Happiest Millionaire,United States,"June 11, 2021","Biographical, Coming of Age, Family"
s200,Movie,The Pacifier,"Canada, United States","June 11, 2021","Action-Adventure, Comedy, Spy/Espionage"
s201,TV Show,Zenimation,United States,"June 11, 2021","Animation, Anthology, Family"
s202,TV Show,Loki,,"June 9, 2021","Action-Adventure, Fantasy, Science Fiction"
s203,TV Show,Gordon Ramsay: Uncharted,United States,"June 4, 2021","Action-Adventure, Docuseries, Lifestyle"
s204,TV Show,MUPPET BABIES,"South Korea, United States, China, Japan","June 4, 2021","Animation, Kids"
s205,Movie,Raya and the Last Dragon,United States,"June 4, 2021","Action-Adventure, Animation, Family"
s206,Movie,Red Tails,United States,"June 4, 2021","Action-Adventure, Drama, Historical"
s207,Movie,Us Again,,"June 4, 2021","Animation, Dance, Family"
s208,Movie,American Eid,,"May 28, 2021",Drama
s209,TV Show,Bluey,"Australia, United Kingdom","May 28, 2021","Animation, Kids"
s210,Movie,Dinner Is Served,,"May 28, 2021","Coming of Age, Drama"
s211,TV Show,Disney Sydney To The Max,United States,"May 28, 2021","Comedy, Coming of Age, Family"
s212,Movie,Growing Fangs,,"May 28, 2021","Coming of Age, Fantasy"
s213,TV Show,Kingdom of the Polar Bears,,"May 28, 2021","Animals & Nature, Docuseries"
s214,Movie,Let's Be Tigers,,"May 28, 2021",Drama
s215,Movie,The Last of the Chupacabras,,"May 28, 2021",Fantasy
s216,Movie,The Little Prince(ss),,"May 28, 2021",Drama
s217,TV Show,Wicked Tuna,United States,"May 28, 2021","Action-Adventure, Animals & Nature, Docuseries"
s218,TV Show,Big City Greens,"United States, South Korea","May 21, 2021","Action-Adventure, Animation, Comedy"
s219,TV Show,Fury Files,,"May 21, 2021","Animation, Superhero"
s220,TV Show,Ice Road Rescue,United Kingdom,"May 21, 2021","Docuseries, Reality, Survival"
s221,Movie,Tinker Bell and the Legend of the NeverBeast,United States,"May 21, 2021","Action-Adventure, Animation, Fantasy"
s222,TV Show,Schoolhouse Rock!,United States,"May 17, 2021","Animals & Nature, Animation, Kids"
s223,TV Show,Disney Special Agent Oso: Three Healthy Steps (Shorts),,"May 14, 2021","Action-Adventure, Animation, Kids"
s224,TV Show,Race to the Center of the Earth,United States,"May 14, 2021","Action-Adventure, Family, Game Show / Competition"
s225,TV Show,Special Agent Oso,"United States, United Kingdom, South Korea","May 14, 2021","Action-Adventure, Animation, Kids"
s226,Movie,X-Men: The Last Stand,"United States, United Kingdom, Canada","May 14, 2021","Action-Adventure, Family, Science Fiction"
s227,TV Show,The Incredible Hulk,United States,"May 10, 2021","Action-Adventure, Animation, Kids"
s228,Movie,Fantastic Four: Rise of the Silver Surfer,"United States, Germany, United Kingdom","May 7, 2021","Action-Adventure, Family, Science Fiction"
s229,TV Show,Wander Over Yonder,"United States, Canada, Ireland","May 7, 2021",Comedy
s230,Movie,Wild Hearts Can't Be Broken,United States,"May 7, 2021","Biographical, Drama"
s231,Movie,"Maggie Simpson in ""The Force Awakens from its Nap""",,"May 4, 2021","Animation, Comedy, Parody"
s232,Movie,Star Wars Biomes,,"May 4, 2021",Science Fiction
s233,TV Show,Star Wars Vehicle Flythroughs,,"May 4, 2021","Anthology, Science Fiction"
s234,TV Show,The Bad Batch,,"May 4, 2021","Action-Adventure, Animation, Science Fiction"
s235,TV Show,Spider-Man,United States,"May 3, 2021","Action-Adventure, Animation, Kids"
s236,Movie,22 vs. Earth,,"April 30, 2021","Animation, Comedy, Family"
s237,TV Show,Adventures in Wonderland,,"April 30, 2021","Fantasy, Musical"
s238,Movie,Disney My Music Story SUKIMASWITCH,,"April 30, 2021","Biographical, Documentary, Music"
s239,TV Show,DuckTales,United States,"April 30, 2021","Action-Adventure, Animation, Comedy"
s240,Movie,Oklahoma!,United States,"April 30, 2021","Musical, Romance, Western"
s241,Movie,Baby's Day Out,United States,"April 23, 2021","Action-Adventure, Comedy, Crime"
s242,Movie,Being the Queen,United States,"April 23, 2021","Biographical, Documentary"
s243,TV Show,Liv and Maddie,United States,"April 23, 2021","Comedy, Coming of Age, Kids"
s244,TV Show,Secrets of the Whales,,"April 22, 2021","Animals & Nature, Docuseries"
s245,TV Show,Big Shot,,"April 16, 2021","Comedy, Drama, Sports"
s246,TV Show,Earth Moods,,"April 16, 2021","Animals & Nature, Anthology"
s247,TV Show,Primal Survivor,United States,"April 16, 2021","Docuseries, Reality, Survival"
s248,Movie,Rio,"United States, Brazil","April 16, 2021","Action-Adventure, Animation, Comedy"
s249,Movie,The Kid Who Would Be King,"United Kingdom, United States","April 16, 2021","Action-Adventure, Coming of Age, Family"
s250,Movie,Treasure Buddies,"United States, Canada","April 16, 2021","Action-Adventure, Comedy, Kids"
s251,Movie,White Fang 2: Myth of the White Wolf,United States,"April 16, 2021","Action-Adventure, Animals & Nature, Drama"
s252,Movie,Cesar Millan: The Real Story,United States,"April 9, 2021","Biographical, Documentary"
s253,TV Show,Future-Worm!,United States,"April 9, 2021","Family, Kids"
s254,TV Show,Kick Buttowski: Suburban Daredevil,United States,"April 9, 2021","Action-Adventure, Animation"
s255,Movie,Man of the House,United States,"April 9, 2021","Comedy, Coming of Age, Crime"
s256,Movie,Mark Twain and Me,"Canada, United States","April 9, 2021","Biographical, Coming of Age, Drama"
s257,Movie,Squanto: A Warrior's Tale,"United States, Canada","April 9, 2021","Action-Adventure, Biographical, Drama"
s258,Movie,Caravan of Courage: An Ewok Adventure,,"April 2, 2021","Action-Adventure, Fantasy, Science Fiction"
s259,Movie,Ewoks: The Battle for Endor,United States,"April 2, 2021","Action-Adventure, Fantasy, Science Fiction"
s260,TV Show,Higglytown Heroes,"United States, South Korea","April 2, 2021","Animation, Kids, Musical"
s261,Movie,Island at the Top of the World,United States,"April 2, 2021","Action-Adventure, Fantasy, Survival"
s262,TV Show,Made in a Day,United States,"April 2, 2021",Reality
s263,Movie,Night at the Museum,"United States, United Kingdom","April 2, 2021","Action-Adventure, Comedy, Family"
s264,TV Show,Secrets Of The Zoo,,"April 2, 2021","Animals & Nature, Docuseries, Family"
s265,Movie,Sharks Of The Bermuda Triangle,,"April 2, 2021","Animals & Nature, Documentary"
s266,TV Show,Star Wars Vintage: Clone Wars 2D Micro-Series,,"April 2, 2021",Series
s267,Movie,Star Wars Vintage: Story of the Faithful Wookiee,,"April 2, 2021",Animation
s268,TV Show,Star Wars: Ewoks,,"April 2, 2021","Action-Adventure, Animation, Fantasy"
s269,Movie,The Big Year,"United States, Canada","April 2, 2021","Animals & Nature, Comedy"
s270,Movie,The Last Ice,United States,"April 2, 2021","Animals & Nature, Documentary"
s271,Movie,Third Man on the Mountain,"United States, United Kingdom","April 2, 2021","Action-Adventure, Coming of Age, Family"
s272,TV Show,Walk the Prank,United States,"April 2, 2021","Comedy, Reality"
s273,Movie,Gnomeo & Juliet,"United Kingdom, United States, Canada, Ireland","March 26, 2021","Action-Adventure, Animation, Family"
s274,TV Show,Pickle and Peanut,United States,"March 26, 2021",Comedy
s275,TV Show,The Mighty Ducks: Game Changers,,"March 26, 2021","Comedy, Drama, Sports"
s276,TV Show,Disney Big Hero 6 The Series,United States,"March 19, 2021","Action-Adventure, Animation, Kids"
s277,Movie,Disney My Music Story: Perfume,,"March 19, 2021","Biographical, Documentary, Music"
s278,TV Show,Mexico Untamed,,"March 19, 2021","Animals & Nature, Docuseries"
s279,TV Show,The Falcon and The Winter Soldier,,"March 19, 2021","Action-Adventure, Buddy, Science Fiction"
s280,Movie,Doc McStuffins: The Doc Is In,,"March 12, 2021","Animation, Kids, Medical"
s281,TV Show,Marvel Studios ASSEMBLED,,"March 12, 2021","Anthology, Docuseries"
s282,Movie,Miss Peregrine's Home for Peculiar Children,"United States, United Kingdom, Belgium, Canada","March 12, 2021","Coming of Age, Fantasy"
s283,Movie,Own the Room,,"March 12, 2021",Documentary
s284,Movie,Garfield: A Tail of Two Kitties,"United Kingdom, United States","March 5, 2021","Comedy, Family, Kids"
s285,TV Show,American Dragon: Jake Long,United States,"February 26, 2021","Action-Adventure, Animation, Comedy"
s286,TV Show,Car SOS,United Kingdom,"February 26, 2021","Buddy, Comedy, Docuseries"
s287,TV Show,Disney Channel Games 2008,,"February 26, 2021","Game Show / Competition, Sports, Variety"
s288,TV Show,Disney Roll It Back (Shorts),,"February 26, 2021","Comedy, Docuseries, Family"
s289,TV Show,Dog With a Blog,United States,"February 26, 2021","Comedy, Fantasy"
s290,TV Show,Mickey Go Local,,"February 26, 2021","Animation, Comedy, Kids"
s291,Movie,Myth: A Frozen Tale,United States,"February 26, 2021","Animation, Family, Fantasy"
s292,Movie,Okavango: River of Dreams,"Austria, South Africa","February 26, 2021","Animals & Nature, Documentary"
s293,TV Show,Pair of Kings,United States,"February 26, 2021","Action-Adventure, Comedy, Coming of Age"
s294,TV Show,Secrets of Sulphur Springs,United States,"February 26, 2021","Family, Fantasy, Mystery"
s295,Movie,Shanghai Disney Resort Grand Opening Gala,,"February 26, 2021",Variety
s296,Movie,Cheaper By the Dozen,United States,"February 19, 2021","Comedy, Family"
s297,Movie,Cheaper by the Dozen 2,"United States, Canada","February 19, 2021","Comedy, Family"
s298,Movie,Flora & Ulysses,United States,"February 19, 2021","Comedy, Coming of Age, Drama"
s299,Movie,The Book of Life,,"February 19, 2021","Action-Adventure, Animation, Comedy"
s300,TV Show,The Muppet Show,"United States, United Kingdom","February 19, 2021","Comedy, Family, Variety"
s301,TV Show,Marvel Battleworld: Mystery of the Thanostones,United States,"February 12, 2021","Action-Adventure, Animation, Fantasy"
s302,Movie,Marvel's Behind the Mask,,"February 12, 2021","Anthology, Documentary"
s303,Movie,Rodgers & Hammerstein's Cinderella,,"February 12, 2021","Comedy, Family, Fantasy"
s304,Movie,You Again,United States,"February 12, 2021",Comedy
s305,Movie,Disney My Music Story: Yoshiki,"United States, Japan","February 5, 2021","Biographical, Documentary, Music"
