Datum,Ort,Produkt,Anzahl
2017-01-08,Ilmenau,SmartDesk,0
2017-01-08,Ilmenau,HealthHub,0
2017-01-08,Ilmenau,QuantumStorage,0
2017-01-08,Ilmenau,LearningSphere,0
2017-01-08,Ilmenau,AutoPilot,0
2017-01-08,Jena,SmartDesk,0
2017-01-08,Jena,HealthHub,0
2017-01-08,Jena,QuantumStorage,0
2017-01-08,Jena,LearningSphere,0
2017-01-08,Jena,AutoPilot,0
2017-01-08,Weimar,SmartDesk,0
2017-01-08,Weimar,HealthHub,0
2017-01-08,Weimar,QuantumStorage,0
2017-01-08,Weimar,LearningSphere,0
2017-01-08,Weimar,AutoPilot,0
2017-01-09,Erfurt,SmartDesk,543
2017-01-09,Erfurt,HealthHub,600
2017-01-09,Erfurt,QuantumStorage,354
2017-01-09,Erfurt,LearningSphere,1077
2017-01-09,Erfurt,AutoPilot,1046
2017-01-09,Ilmenau,SmartDesk,511
2017-01-09,Ilmenau,HealthHub,196
2017-01-09,Ilmenau,QuantumStorage,305
2017-01-09,Ilmenau,LearningSphere,1076
2017-01-09,Ilmenau,AutoPilot,659
2017-01-09,Jena,SmartDesk,681
2017-01-09,Jena,HealthHub,273
2017-01-09,Jena,QuantumStorage,485
2017-01-09,Jena,LearningSphere,707
2017-01-09,Jena,AutoPilot,362
2017-01-09,Weimar,SmartDesk,398
2017-01-09,Weimar,HealthHub,312
2017-01-09,Weimar,QuantumStorage,312
2017-01-09,Weimar,LearningSphere,985
2017-01-09,Weimar,AutoPilot,543
2017-01-10,Erfurt,SmartDesk,331
2017-01-10,Erfurt,HealthHub,421
2017-01-10,Erfurt,QuantumStorage,246
2017-01-10,Erfurt,LearningSphere,810
2017-01-10,Erfurt,AutoPilot,619
2017-01-10,Ilmenau,SmartDesk,317
2017-01-10,Ilmenau,HealthHub,149
2017-01-10,Ilmenau,QuantumStorage,208
2017-01-10,Ilmenau,LearningSphere,599
2017-01-10,Ilmenau,AutoPilot,376
2017-01-10,Jena,SmartDesk,467
2017-01-10,Jena,HealthHub,157
2017-01-10,Jena,QuantumStorage,315
2017-01-10,Jena,LearningSphere,441
2017-01-10,Jena,AutoPilot,227
2017-01-10,Weimar,SmartDesk,229
2017-01-10,Weimar,HealthHub,204
2017-01-10,Weimar,QuantumStorage,180
2017-01-10,Weimar,LearningSphere,839
2017-01-10,Weimar,AutoPilot,331
2017-01-11,Erfurt,SmartDesk,482
2017-01-11,Erfurt,HealthHub,426
2017-01-11,Erfurt,QuantumStorage,295
2017-01-11,Erfurt,LearningSphere,749
2017-01-11,Erfurt,AutoPilot,798
2017-01-11,Ilmenau,SmartDesk,421
2017-01-11,Ilmenau,HealthHub,164
2017-01-11,Ilmenau,QuantumStorage,260
2017-01-11,Ilmenau,LearningSphere,836
2017-01-11,Ilmenau,AutoPilot,546
2017-01-11,Jena,SmartDesk,466
2017-01-11,Jena,HealthHub,218
2017-01-11,Jena,QuantumStorage,427
2017-01-11,Jena,LearningSphere,503
2017-01-11,Jena,AutoPilot,274
2017-01-11,Weimar,SmartDesk,264
2017-01-11,Weimar,HealthHub,292
2017-01-11,Weimar,QuantumStorage,221
2017-01-11,Weimar,LearningSphere,871
2017-01-11,Weimar,AutoPilot,482
2017-01-12,Erfurt,SmartDesk,584
2017-01-12,Erfurt,HealthHub,497
2017-01-12,Erfurt,QuantumStorage,400
2017-01-12,Erfurt,LearningSphere,999
2017-01-12,Erfurt,AutoPilot,961
2017-01-12,Ilmenau,SmartDesk,455
2017-01-12,Ilmenau,HealthHub,213
2017-01-12,Ilmenau,QuantumStorage,263
2017-01-12,Ilmenau,LearningSphere,1060
2017-01-12,Ilmenau,AutoPilot,541
2017-01-12,Jena,SmartDesk,517
2017-01-12,Jena,HealthHub,269
2017-01-12,Jena,QuantumStorage,437
2017-01-12,Jena,LearningSphere,625
2017-01-12,Jena,AutoPilot,281
2017-01-12,Weimar,SmartDesk,359
2017-01-12,Weimar,HealthHub,300
2017-01-12,Weimar,QuantumStorage,248
2017-01-12,Weimar,LearningSphere,942
2017-01-12,Weimar,AutoPilot,584
2017-01-13,Erfurt,SmartDesk,418
2017-01-13,Erfurt,HealthHub,432
2017-01-13,Erfurt,QuantumStorage,231
2017-01-13,Erfurt,LearningSphere,731
2017-01-13,Erfurt,AutoPilot,709
2017-01-13,Ilmenau,SmartDesk,327
2017-01-13,Ilmenau,HealthHub,147
2017-01-13,Ilmenau,QuantumStorage,225
2017-01-13,Ilmenau,LearningSphere,713
2017-01-13,Ilmenau,AutoPilot,481
2017-01-13,Jena,SmartDesk,459
2017-01-13,Jena,HealthHub,178
2017-01-13,Jena,QuantumStorage,333
2017-01-13,Jena,LearningSphere,514
2017-01-13,Jena,AutoPilot,255
2017-01-13,Weimar,SmartDesk,226
2017-01-13,Weimar,HealthHub,227
2017-01-13,Weimar,QuantumStorage,199
2017-01-13,Weimar,LearningSphere,902
2017-01-13,Weimar,AutoPilot,418
2017-01-14,Erfurt,SmartDesk,0
2017-01-14,Erfurt,HealthHub,0
2017-01-14,Erfurt,QuantumStorage,0
2017-01-14,Erfurt,LearningSphere,0
2017-01-14,Erfurt,AutoPilot,0
2017-01-14,Ilmenau,SmartDesk,0
2017-01-14,Ilmenau,HealthHub,0
2017-01-14,Ilmenau,QuantumStorage,0
2017-01-14,Ilmenau,LearningSphere,0
2017-01-14,Ilmenau,AutoPilot,0
2017-01-14,Jena,SmartDesk,0
2017-01-14,Jena,HealthHub,0
2017-01-14,Jena,QuantumStorage,0
2017-01-14,Jena,LearningSphere,0
2017-01-14,Jena,AutoPilot,0
2017-01-14,Weimar,SmartDesk,0
2017-01-14,Weimar,HealthHub,0
2017-01-14,Weimar,QuantumStorage,0
2017-01-14,Weimar,LearningSphere,0
2017-01-14,Weimar,AutoPilot,0
2017-01-15,Erfurt,SmartDesk,0
2017-01-15,Erfurt,HealthHub,0
2017-01-15,Erfurt,QuantumStorage,0
2017-01-15,Erfurt,LearningSphere,0
2017-01-15,Erfurt,AutoPilot,0
2017-01-15,Ilmenau,SmartDesk,0
2017-01-15,Ilmenau,HealthHub,0
2017-01-15,Ilmenau,QuantumStorage,0
2017-01-15,Ilmenau,LearningSphere,0
2017-01-15,Ilmenau,AutoPilot,0
2017-01-15,Jena,SmartDesk,0
2017-01-15,Jena,HealthHub,0
2017-01-15,Jena,QuantumStorage,0
2017-01-15,Jena,LearningSphere,0
2017-01-15,Jena,AutoPilot,0
2017-01-15,Weimar,SmartDesk,0
2017-01-15,Weimar,HealthHub,0
2017-01-15,Weimar,QuantumStorage,0
2017-01-15,Weimar,LearningSphere,0
2017-01-15,Weimar,AutoPilot,0
2017-01-16,Erfurt,SmartDesk,521
2017-01-16,Erfurt,HealthHub,643
2017-01-16,Erfurt,QuantumStorage,425
2017-01-16,Erfurt,LearningSphere,1073
2017-01-16,Erfurt,AutoPilot,921
2017-01-16,Ilmenau,SmartDesk,553
2017-01-16,Ilmenau,HealthHub,195
2017-01-16,Ilmenau,QuantumStorage,343
2017-01-16,Ilmenau,LearningSphere,1137
2017-01-16,Ilmenau,AutoPilot,575
2017-01-16,Jena,SmartDesk,564
2017-01-16,Jena,HealthHub,276
2017-01-16,Jena,QuantumStorage,529
2017-01-16,Jena,LearningSphere,710
2017-01-16,Jena,AutoPilot,352
2017-01-16,Weimar,SmartDesk,379
2017-01-16,Weimar,HealthHub,361
2017-01-16,Weimar,QuantumStorage,291
2017-01-16,Weimar,LearningSphere,1130
2017-01-16,Weimar,AutoPilot,521
2017-01-17,Erfurt,SmartDesk,421
2017-01-17,Erfurt,HealthHub,342
2017-01-17,Erfurt,QuantumStorage,306
2017-01-17,Erfurt,LearningSphere,589
2017-01-17,Erfurt,AutoPilot,688
2017-01-17,Ilmenau,SmartDesk,308
2017-01-17,Ilmenau,HealthHub,165
2017-01-17,Ilmenau,QuantumStorage,239
2017-01-17,Ilmenau,LearningSphere,660
2017-01-17,Ilmenau,AutoPilot,397
2017-01-17,Jena,SmartDesk,427
2017-01-17,Jena,HealthHub,195
2017-01-17,Jena,QuantumStorage,388
2017-01-17,Jena,LearningSphere,438
2017-01-17,Jena,AutoPilot,269
2017-01-17,Weimar,SmartDesk,235
2017-01-17,Weimar,HealthHub,191
2017-01-17,Weimar,QuantumStorage,170
2017-01-17,Weimar,LearningSphere,664
2017-01-17,Weimar,AutoPilot,421
2017-01-18,Erfurt,SmartDesk,495
2017-01-18,Erfurt,HealthHub,505
2017-01-18,Erfurt,QuantumStorage,305
2017-01-18,Erfurt,LearningSphere,757
2017-01-18,Erfurt,AutoPilot,846
2017-01-18,Ilmenau,SmartDesk,433
2017-01-18,Ilmenau,HealthHub,163
2017-01-18,Ilmenau,QuantumStorage,274
2017-01-18,Ilmenau,LearningSphere,875
2017-01-18,Ilmenau,AutoPilot,469
2017-01-18,Jena,SmartDesk,498
2017-01-18,Jena,HealthHub,194
2017-01-18,Jena,QuantumStorage,383
2017-01-18,Jena,LearningSphere,604
2017-01-18,Jena,AutoPilot,300
2017-01-18,Weimar,SmartDesk,311
2017-01-18,Weimar,HealthHub,267
2017-01-18,Weimar,QuantumStorage,242
2017-01-18,Weimar,LearningSphere,852
2017-01-18,Weimar,AutoPilot,495
2017-01-19,Erfurt,SmartDesk,462
2017-01-19,Erfurt,HealthHub,510
2017-01-19,Erfurt,QuantumStorage,335
2017-01-19,Erfurt,LearningSphere,927
2017-01-19,Erfurt,AutoPilot,886
2017-01-19,Ilmenau,SmartDesk,540
2017-01-19,Ilmenau,HealthHub,215
2017-01-19,Ilmenau,QuantumStorage,284
2017-01-19,Ilmenau,LearningSphere,945
2017-01-19,Ilmenau,AutoPilot,604
2017-01-19,Jena,SmartDesk,552
2017-01-19,Jena,HealthHub,265
2017-01-19,Jena,QuantumStorage,459
2017-01-19,Jena,LearningSphere,543
2017-01-19,Jena,AutoPilot,336
2017-01-19,Weimar,SmartDesk,302
2017-01-19,Weimar,HealthHub,340
2017-01-19,Weimar,QuantumStorage,273
2017-01-19,Weimar,LearningSphere,1057
2017-01-19,Weimar,AutoPilot,462
2017-01-20,Erfurt,SmartDesk,391
2017-01-20,Erfurt,HealthHub,481
2017-01-20,Erfurt,QuantumStorage,260
2017-01-20,Erfurt,LearningSphere,765
2017-01-20,Erfurt,AutoPilot,604
2017-01-20,Ilmenau,SmartDesk,437
2017-01-20,Ilmenau,HealthHub,161
2017-01-20,Ilmenau,QuantumStorage,231
2017-01-20,Ilmenau,LearningSphere,883
2017-01-20,Ilmenau,AutoPilot,540
2017-01-20,Jena,SmartDesk,436
2017-01-20,Jena,HealthHub,176
2017-01-20,Jena,QuantumStorage,422
2017-01-20,Jena,LearningSphere,455
2017-01-20,Jena,AutoPilot,279
2017-01-20,Weimar,SmartDesk,255
2017-01-20,Weimar,HealthHub,234
2017-01-20,Weimar,QuantumStorage,242
2017-01-20,Weimar,LearningSphere,790
2017-01-20,Weimar,AutoPilot,391
2017-01-21,Erfurt,SmartDesk,0
2017-01-21,Erfurt,HealthHub,0
2017-01-21,Erfurt,QuantumStorage,0
2017-01-21,Erfurt,LearningSphere,0
2017-01-21,Erfurt,AutoPilot,0
2017-01-21,Ilmenau,SmartDesk,0
2017-01-21,Ilmenau,HealthHub,0
2017-01-21,Ilmenau,QuantumStorage,0
2017-01-21,Ilmenau,LearningSphere,0
2017-01-21,Ilmenau,AutoPilot,0
2017-01-21,Jena,SmartDesk,0
2017-01-21,Jena,HealthHub,0
2017-01-21,Jena,QuantumStorage,0
2017-01-21,Jena,LearningSphere,0
2017-01-21,Jena,AutoPilot,0
2017-01-21,Weimar,SmartDesk,0
2017-01-21,Weimar,HealthHub,0
2017-01-21,Weimar,QuantumStorage,0
2017-01-21,Weimar,LearningSphere,0
2017-01-21,Weimar,AutoPilot,0
2017-01-22,Erfurt,SmartDesk,0
2017-01-22,Erfurt,HealthHub,0
2017-01-22,Erfurt,QuantumStorage,0
2017-01-22,Erfurt,LearningSphere,0
2017-01-22,Erfurt,AutoPilot,0
2017-01-22,Ilmenau,SmartDesk,0
2017-01-22,Ilmenau,HealthHub,0
2017-01-22,Ilmenau,QuantumStorage,0
2017-01-22,Ilmenau,LearningSphere,0
2017-01-22,Ilmenau,AutoPilot,0
2017-01-22,Jena,SmartDesk,0
2017-01-22,Jena,HealthHub,0
2017-01-22,Jena,QuantumStorage,0
2017-01-22,Jena,LearningSphere,0
2017-01-22,Jena,AutoPilot,0
2017-01-22,Weimar,SmartDesk,0
2017-01-22,Weimar,HealthHub,0
2017-01-22,Weimar,QuantumStorage,0
2017-01-22,Weimar,LearningSphere,0
2017-01-22,Weimar,AutoPilot,0
2017-01-23,Erfurt,SmartDesk,548
2017-01-23,Erfurt,HealthHub,616
2017-01-23,Erfurt,QuantumStorage,394
2017-01-23,Erfurt,LearningSphere,1023
2017-01-23,Erfurt,AutoPilot,1049
2017-01-23,Ilmenau,SmartDesk,529
2017-01-23,Ilmenau,HealthHub,235
2017-01-23,Ilmenau,QuantumStorage,339
2017-01-23,Ilmenau,LearningSphere,1138
2017-01-23,Ilmenau,AutoPilot,576
2017-01-23,Jena,SmartDesk,614
2017-01-23,Jena,HealthHub,288
2017-01-23,Jena,QuantumStorage,563
2017-01-23,Jena,LearningSphere,692
2017-01-23,Jena,AutoPilot,371
2017-01-23,Weimar,SmartDesk,343
2017-01-23,Weimar,HealthHub,314
2017-01-23,Weimar,QuantumStorage,336
2017-01-23,Weimar,LearningSphere,1087
2017-01-23,Weimar,AutoPilot,548
2017-01-24,Erfurt,SmartDesk,363
2017-01-24,Erfurt,HealthHub,340
2017-01-24,Erfurt,QuantumStorage,249
2017-01-24,Erfurt,LearningSphere,747
2017-01-24,Erfurt,AutoPilot,691
2017-01-24,Ilmenau,SmartDesk,335
2017-01-24,Ilmenau,HealthHub,172
2017-01-24,Ilmenau,QuantumStorage,210
2017-01-24,Ilmenau,LearningSphere,839
2017-01-24,Ilmenau,AutoPilot,373
2017-01-24,Jena,SmartDesk,468
2017-01-24,Jena,HealthHub,188
2017-01-24,Jena,QuantumStorage,332
2017-01-24,Jena,LearningSphere,448
2017-01-24,Jena,AutoPilot,223
2017-01-24,Weimar,SmartDesk,250
2017-01-24,Weimar,HealthHub,214
2017-01-24,Weimar,QuantumStorage,217
2017-01-24,Weimar,LearningSphere,678
2017-01-24,Weimar,AutoPilot,363
2017-01-25,Erfurt,SmartDesk,486
2017-01-25,Erfurt,HealthHub,466
2017-01-25,Erfurt,QuantumStorage,305
2017-01-25,Erfurt,LearningSphere,802
2017-01-25,Erfurt,AutoPilot,852
2017-01-25,Ilmenau,SmartDesk,414
2017-01-25,Ilmenau,HealthHub,195
2017-01-25,Ilmenau,QuantumStorage,214
2017-01-25,Ilmenau,LearningSphere,782
2017-01-25,Ilmenau,AutoPilot,524
2017-01-25,Jena,SmartDesk,509
2017-01-25,Jena,HealthHub,236
2017-01-25,Jena,QuantumStorage,441
2017-01-25,Jena,LearningSphere,591
2017-01-25,Jena,AutoPilot,283
2017-01-25,Weimar,SmartDesk,304
2017-01-25,Weimar,HealthHub,253
2017-01-25,Weimar,QuantumStorage,236
2017-01-25,Weimar,LearningSphere,861
2017-01-25,Weimar,AutoPilot,486
2017-01-26,Erfurt,SmartDesk,460
2017-01-26,Erfurt,HealthHub,503
2017-01-26,Erfurt,QuantumStorage,326
2017-01-26,Erfurt,LearningSphere,913
2017-01-26,Erfurt,AutoPilot,996
2017-01-26,Ilmenau,SmartDesk,548
2017-01-26,Ilmenau,HealthHub,189
2017-01-26,Ilmenau,QuantumStorage,253
2017-01-26,Ilmenau,LearningSphere,993
2017-01-26,Ilmenau,AutoPilot,641
2017-01-26,Jena,SmartDesk,637
2017-01-26,Jena,HealthHub,281
2017-01-26,Jena,QuantumStorage,428
2017-01-26,Jena,LearningSphere,649
2017-01-26,Jena,AutoPilot,354
2017-01-26,Weimar,SmartDesk,296
2017-01-26,Weimar,HealthHub,331
2017-01-26,Weimar,QuantumStorage,281
2017-01-26,Weimar,LearningSphere,882
2017-01-26,Weimar,AutoPilot,460
2017-01-27,Erfurt,SmartDesk,443
2017-01-27,Erfurt,HealthHub,485
2017-01-27,Erfurt,QuantumStorage,318
2017-01-27,Erfurt,LearningSphere,759
2017-01-27,Erfurt,AutoPilot,691
2017-01-27,Ilmenau,SmartDesk,384
2017-01-27,Ilmenau,HealthHub,137
2017-01-27,Ilmenau,QuantumStorage,225
2017-01-27,Ilmenau,LearningSphere,789
2017-01-27,Ilmenau,AutoPilot,404
2017-01-27,Jena,SmartDesk,368
2017-01-27,Jena,HealthHub,191
2017-01-27,Jena,QuantumStorage,357
2017-01-27,Jena,LearningSphere,550
2017-01-27,Jena,AutoPilot,251
2017-01-27,Weimar,SmartDesk,231
2017-01-27,Weimar,HealthHub,267
2017-01-27,Weimar,QuantumStorage,215
2017-01-27,Weimar,LearningSphere,896
2017-01-27,Weimar,AutoPilot,443
2017-01-28,Erfurt,SmartDesk,0
2017-01-28,Erfurt,HealthHub,0
2017-01-28,Erfurt,QuantumStorage,0
2017-01-28,Erfurt,LearningSphere,0
2017-01-28,Erfurt,AutoPilot,0
2017-01-28,Ilmenau,SmartDesk,0
2017-01-28,Ilmenau,HealthHub,0
2017-01-28,Ilmenau,QuantumStorage,0
2017-01-28,Ilmenau,LearningSphere,0
2017-01-28,Ilmenau,AutoPilot,0
2017-01-28,Jena,SmartDesk,0
2017-01-28,Jena,HealthHub,0
2017-01-28,Jena,QuantumStorage,0
2017-01-28,Jena,LearningSphere,0
2017-01-28,Jena,AutoPilot,0
2017-01-28,Weimar,SmartDesk,0
2017-01-28,Weimar,HealthHub,0
2017-01-28,Weimar,QuantumStorage,0
2017-01-28,Weimar,LearningSphere,0
2017-01-28,Weimar,AutoPilot,0
2017-01-29,Erfurt,SmartDesk,0
2017-01-29,Erfurt,HealthHub,0
2017-01-29,Erfurt,QuantumStorage,0
2017-01-29,Erfurt,LearningSphere,0
2017-01-29,Erfurt,AutoPilot,0
2017-01-29,Ilmenau,SmartDesk,0
2017-01-29,Ilmenau,HealthHub,0
2017-01-29,Ilmenau,QuantumStorage,0
2017-01-29,Ilmenau,LearningSphere,0
2017-01-29,Ilmenau,AutoPilot,0
2017-01-29,Jena,SmartDesk,0
2017-01-29,Jena,HealthHub,0
2017-01-29,Jena,QuantumStorage,0
2017-01-29,Jena,LearningSphere,0
2017-01-29,Jena,AutoPilot,0
2017-01-29,Weimar,SmartDesk,0
2017-01-29,Weimar,HealthHub,0
2017-01-29,Weimar,QuantumStorage,0
2017-01-29,Weimar,LearningSphere,0
2017-01-29,Weimar,AutoPilot,0
2017-01-30,Erfurt,SmartDesk,549
2017-01-30,Erfurt,HealthHub,579
2017-01-30,Erfurt,QuantumStorage,401
2017-01-30,Erfurt,LearningSphere,1003
2017-01-30,Erfurt,AutoPilot,984
2017-01-30,Ilmenau,SmartDesk,474
2017-01-30,Ilmenau,HealthHub,218
2017-01-30,Ilmenau,QuantumStorage,265
2017-01-30,Ilmenau,LearningSphere,936
2017-01-30,Ilmenau,AutoPilot,654
2017-01-30,Jena,SmartDesk,672
2017-01-30,Jena,HealthHub,251
2017-01-30,Jena,QuantumStorage,576
2017-01-30,Jena,LearningSphere,675
2017-01-30,Jena,AutoPilot,393
2017-01-30,Weimar,SmartDesk,363
2017-01-30,Weimar,HealthHub,293
2017-01-30,Weimar,QuantumStorage,304
2017-01-30,Weimar,LearningSphere,1058
2017-01-30,Weimar,AutoPilot,549
2017-01-31,Erfurt,SmartDesk,385
2017-01-31,Erfurt,HealthHub,351
2017-01-31,Erfurt,QuantumStorage,291
2017-01-31,Erfurt,LearningSphere,746
2017-01-31,Erfurt,AutoPilot,619
2017-01-31,Ilmenau,SmartDesk,316
2017-01-31,Ilmenau,HealthHub,161
2017-01-31,Ilmenau,QuantumStorage,196
2017-01-31,Ilmenau,LearningSphere,655
2017-01-31,Ilmenau,AutoPilot,388
2017-01-31,Jena,SmartDesk,364
2017-01-31,Jena,HealthHub,211
2017-01-31,Jena,QuantumStorage,345
2017-01-31,Jena,LearningSphere,470
2017-01-31,Jena,AutoPilot,221
2017-01-31,Weimar,SmartDesk,196
2017-01-31,Weimar,HealthHub,205
2017-01-31,Weimar,QuantumStorage,227
2017-01-31,Weimar,LearningSphere,808
2017-01-31,Weimar,AutoPilot,385
2017-02-01,Erfurt,SmartDesk,435
2017-02-01,Erfurt,HealthHub,494
2017-02-01,Erfurt,QuantumStorage,299
2017-02-01,Erfurt,LearningSphere,792
2017-02-01,Erfurt,AutoPilot,780
2017-02-01,Ilmenau,SmartDesk,413
2017-02-01,Ilmenau,HealthHub,181
2017-02-01,Ilmenau,QuantumStorage,227
2017-02-01,Ilmenau,LearningSphere,787
2017-02-01,Ilmenau,AutoPilot,573
2017-02-01,Jena,SmartDesk,517
2017-02-01,Jena,HealthHub,234
2017-02-01,Jena,QuantumStorage,459
2017-02-01,Jena,LearningSphere,500
2017-02-01,Jena,AutoPilot,290
2017-02-01,Weimar,SmartDesk,303
2017-02-01,Weimar,HealthHub,283
2017-02-01,Weimar,QuantumStorage,227
2017-02-01,Weimar,LearningSphere,940
2017-02-01,Weimar,AutoPilot,435
2017-02-02,Erfurt,SmartDesk,593
2017-02-02,Erfurt,HealthHub,533
2017-02-02,Erfurt,QuantumStorage,347
2017-02-02,Erfurt,LearningSphere,831
2017-02-02,Erfurt,AutoPilot,763
2017-02-02,Ilmenau,SmartDesk,512
2017-02-02,Ilmenau,HealthHub,182
2017-02-02,Ilmenau,QuantumStorage,284
