height,weight,gender
171.9,77.2,1
171.4,87.0,1
176.0,85.1,1
175.8,93.3,1
163.3,61.7,0
171.8,77.0,0
176.7,83.7,1
166.6,70.2,0
172.2,73.7,0
167.7,79.0,1
180.9,95.5,1
178.7,89.0,1
150.0,50.8,0
171.1,80.1,1
184.0,89.2,1
163.3,65.1,0
161.6,55.1,0
177.5,88.8,1
173.1,70.2,0
158.3,63.7,1
182.7,98.7,1
169.7,68.5,0
175.8,83.1,1
154.7,61.1,0
160.4,54.1,1
151.5,49.6,0
182.5,94.3,1
180.7,79.9,0
174.0,91.1,1
162.6,63.0,0
165.5,62.0,0
159.8,65.4,1
149.9,44.6,0
152.4,43.4,0
165.8,56.8,0
172.8,79.6,1
160.9,59.8,0
167.0,61.5,0
176.5,85.2,1
155.7,56.1,0
166.4,72.2,0
177.3,92.2,1
164.2,61.4,0
161.4,61.6,0
182.8,93.2,1
159.6,68.2,0
172.5,83.6,1
163.7,58.0,0
168.5,78.4,1
158.5,60.7,0
162.8,60.9,0
177.5,81.5,1
185.1,97.7,1
169.2,74.4,1
173.2,77.0,1
172.7,71.6,0
148.8,48.0,0
172.1,78.0,1
180.0,99.7,1
168.3,77.9,1
156.2,53.5,0
168.7,68.8,0
170.8,87.6,1
163.0,64.6,0
168.8,78.4,1
162.1,63.9,0
175.8,87.9,1
154.1,55.2,0
165.7,62.2,0
179.0,87.9,1
162.0,72.3,1
165.2,68.5,0
173.1,86.9,1
154.1,54.7,0
182.1,91.9,1
181.3,97.5,1
168.5,67.6,0
181.5,90.4,1
163.3,60.7,0
175.5,86.3,1
160.6,56.7,0
171.0,85.1,1
157.7,55.3,0
160.5,58.1,0
160.6,57.6,0
170.4,82.7,1
173.9,79.9,0
155.0,54.5,0
164.4,65.3,0
162.9,71.5,1
181.9,91.5,1
165.2,67.0,1
148.9,46.5,0
158.7,67.5,1
154.3,54.9,0
168.3,70.0,0
176.2,82.7,0
165.1,68.2,0
171.2,66.8,0
169.5,83.3,1
162.7,67.9,0
161.6,55.6,0
152.8,50.2,0
165.8,62.6,0
174.9,75.1,0
163.4,71.6,1
171.2,74.6,1
168.3,67.5,0
172.2,78.7,1
146.3,44.5,0
173.1,69.1,0
157.8,66.1,1
162.6,66.1,0
169.4,72.4,0
158.5,54.6,0
175.8,85.3,1
165.5,66.1,0
167.5,80.4,1
161.8,57.1,0
170.6,75.6,0
175.7,87.0,1
172.5,83.2,1
175.2,86.2,1
165.7,82.1,1
185.5,95.0,1
159.6,69.2,0
163.1,56.6,0
159.9,61.0,0
161.7,71.9,1
157.0,48.7,0
182.2,99.8,1
158.0,55.2,0
161.8,63.2,1
159.8,64.1,0
157.6,52.3,0
167.7,64.3,0
176.3,89.0,1
174.6,83.5,1
159.9,64.6,0
162.0,58.8,0
167.1,71.2,1
172.2,66.3,0
179.8,92.0,1
159.1,55.3,0
157.0,46.6,0
179.5,88.4,1
167.3,79.3,1
163.9,77.7,1
166.3,79.2,1
170.5,88.3,1
162.5,64.6,1
164.7,66.9,0
162.1,59.5,0
149.5,53.4,0
182.6,95.7,1
167.2,73.0,0
155.5,52.6,0
170.0,76.5,0
157.5,55.9,0
158.0,59.2,0
185.7,99.7,1
159.4,53.3,0
162.2,58.2,0
165.6,68.9,1
170.8,82.8,1
162.1,62.7,0
167.4,68.6,1
169.9,66.3,0
185.8,98.5,1
179.7,96.5,1
171.3,71.1,0
172.6,94.2,1
165.3,70.8,0
179.3,87.3,1
180.9,91.1,1
160.6,54.1,0
150.9,46.9,0
165.7,75.3,1
171.6,76.5,1
160.5,65.6,0
170.0,76.5,0
167.9,75.1,0
176.1,89.5,1
165.7,66.3,0
151.7,43.5,0
152.0,45.2,0
177.2,85.2,1
163.8,74.4,0
167.4,84.4,1
157.0,68.8,0
173.4,84.7,1
180.2,82.1,1
179.5,91.5,1
159.8,47.2,0
169.3,75.1,1
155.0,50.5,0
184.0,90.9,1
164.0,64.9,0
159.9,69.9,1
149.8,48.1,0
176.6,92.5,1
183.0,94.7,1
170.6,80.7,1
182.5,96.9,1
167.9,84.8,1
170.5,72.3,1
161.3,62.2,0
160.4,54.1,0
151.2,52.1,0
177.0,86.6,1
169.1,70.1,1
172.0,83.7,1
162.0,61.8,0
176.9,93.4,1
156.9,66.4,1
175.8,85.7,1
174.6,74.4,0
173.5,85.7,1
173.7,74.3,0
175.7,81.6,1
149.2,44.3,0
164.2,60.5,0
181.2,95.6,1
165.7,70.3,0
163.6,76.7,1
174.3,85.0,1
179.1,86.8,1
160.7,53.0,0
154.7,59.5,0
179.4,91.3,1
162.7,63.3,0
156.2,56.9,0
178.6,86.2,1
159.5,51.9,0
176.7,89.4,1
170.6,82.6,1
162.6,61.9,0
152.0,48.2,0
168.6,83.1,1
163.4,58.3,0
173.4,80.3,0
175.0,83.7,1
163.4,62.9,0
152.3,52.4,0
165.8,66.1,0
154.1,51.7,0
172.2,82.6,1
176.9,72.5,0
150.7,45.6,0
181.8,91.4,1
180.9,96.5,1
162.7,65.5,0
177.5,92.3,1
164.3,56.6,0
177.6,91.8,1
173.2,77.5,0
156.9,54.9,0
175.8,85.1,1
172.5,78.9,1
181.1,96.0,1
183.1,95.5,1
163.2,63.8,0
180.8,83.3,1
156.6,60.4,0
157.3,56.8,0
172.1,83.9,1
158.8,58.6,0
173.0,69.0,0
152.5,51.0,0
176.8,83.8,1
173.1,79.4,1
156.9,50.1,0
181.5,81.4,1
158.2,63.3,0
175.3,80.2,1
184.0,94.9,1
159.5,59.0,0
181.1,101.8,1
176.5,94.9,1
176.6,85.3,1
175.3,94.6,1
189.0,103.8,1
152.5,47.4,0
149.1,54.5,0
177.0,89.5,1
177.2,82.2,1
166.2,72.9,1
165.3,60.1,0
169.1,72.0,0
175.9,81.4,1
164.3,63.0,0
171.0,75.6,0
159.0,53.3,0
178.0,92.2,1
180.9,89.0,1
172.6,76.6,0
171.7,67.8,1
159.1,60.4,0
157.7,56.9,0
175.7,78.9,1
163.6,64.5,0
157.4,57.3,0
158.1,60.7,0
158.1,60.5,0
163.1,66.0,0
163.4,59.7,0
164.4,64.2,0
154.4,50.8,0
183.8,101.9,1
158.0,55.8,0
151.1,55.4,0
155.2,51.3,0
170.5,59.7,0
168.8,84.4,1
172.2,78.8,1
172.7,77.7,1
180.0,86.4,1
194.3,104.7,1
154.1,53.5,0
180.6,93.7,1
176.2,79.1,1
184.1,96.6,1
182.5,93.1,1
176.7,84.8,1
169.6,75.1,1
181.7,96.3,1
178.6,89.2,1
165.3,69.1,0
193.7,112.2,1
158.9,59.5,0
173.3,71.8,0
173.7,76.3,1
177.6,100.7,1
177.0,96.0,1
157.8,66.4,0
175.3,89.8,1
164.6,66.8,1
156.6,48.9,0
163.6,65.5,0
177.9,89.9,1
169.0,74.2,0
180.4,97.3,1
169.0,70.5,0
177.6,90.3,1
173.4,72.0,0
175.2,75.8,0
154.4,54.1,0
154.7,51.7,0
172.2,81.6,1
164.3,67.6,0
160.4,59.2,0
164.4,63.3,0
172.7,82.2,1
162.6,61.8,0
162.9,53.0,0
178.6,96.8,1
168.2,80.2,1
162.9,67.4,0
171.3,67.4,0
178.6,89.2,1
173.5,82.7,1
159.3,52.6,0
154.7,54.6,0
167.9,83.0,1
148.7,50.2,0
165.9,66.2,0
160.5,60.6,0
158.8,60.7,0
174.6,84.6,1
175.6,93.8,1
170.0,73.8,0
154.8,51.0,0
159.6,50.6,0
152.4,51.3,0
171.7,81.6,1
179.9,87.2,0
181.1,89.3,1
185.5,89.2,1
172.0,66.9,0
166.9,65.3,0
164.5,57.1,0
176.0,80.7,1
166.2,54.3,0
163.4,63.0,0
175.8,78.8,1
152.8,54.5,0
181.5,91.0,1
169.3,71.4,1
161.4,59.6,0
180.4,94.0,1
171.1,81.3,1
172.2,81.6,1
166.1,66.3,0
188.5,92.9,1
159.9,70.1,1
171.8,80.5,1
183.9,96.3,1
146.2,49.1,0
190.9,113.5,1
168.9,78.6,1
163.9,58.6,0
148.8,47.5,0
165.8,66.0,0
164.6,67.9,0
174.1,79.4,1
164.1,76.7,1
160.6,55.0,0
169.3,70.7,1
171.5,91.1,1
174.1,79.5,1
163.1,70.1,0
168.5,69.5,0
171.2,71.1,0
166.2,75.3,1
187.5,88.6,1
159.9,56.4,0
162.2,66.4,0
161.8,65.2,0
168.8,81.9,1
166.2,65.4,1
167.7,64.8,0
158.2,65.4,0
166.9,73.0,0
182.1,97.9,1
168.3,70.1,1
159.5,53.2,0
165.1,66.7,0
173.3,84.6,1
158.6,57.4,0
169.0,75.8,1
170.5,77.7,1
177.9,87.6,1
175.0,83.9,1
169.9,69.7,0
172.7,78.1,0
168.8,69.0,0
172.2,86.0,1
164.0,62.3,0
173.6,75.6,0
168.7,78.9,1
179.0,88.1,1
158.2,61.9,0
179.8,95.8,1
175.3,82.5,1
179.8,87.2,1
162.8,62.9,0
175.2,69.4,0
167.6,68.3,0
147.7,47.7,0
159.5,55.2,0
170.9,86.1,1
154.9,54.4,0
165.1,68.9,0
182.8,86.6,1
186.8,93.5,1
169.8,73.1,1
178.3,87.5,1
188.3,95.8,1
172.5,78.7,1
171.9,87.8,1
170.6,70.9,0
161.6,73.8,1
173.5,75.7,0
149.5,44.7,0
171.5,76.0,1
179.0,87.8,1
166.5,71.9,0
168.9,76.5,1
195.8,109.1,1
167.0,66.2,1
169.0,73.5,0
166.7,76.2,1
170.9,79.4,1
171.2,76.3,0
182.4,93.4,1
185.7,88.0,1
158.6,62.8,0
171.4,81.8,1
167.0,73.1,1
176.1,76.0,0
158.8,55.1,0
153.1,52.8,0
149.6,46.3,0
157.0,56.7,0
162.9,64.7,0
167.2,74.8,1
170.9,80.0,1
179.6,89.4,1
164.5,68.9,0
165.8,74.4,0
172.0,74.4,1
178.6,89.0,1
162.4,64.9,0
176.3,90.4,1
172.0,77.9,1
168.2,64.9,0
145.4,46.1,0
160.2,70.4,0
172.1,75.1,1
148.9,47.9,0
180.1,83.0,1
151.7,49.9,0
175.1,85.4,1
152.5,52.5,0
171.1,78.6,1
178.7,82.9,1
173.6,80.7,1
158.4,59.8,0
187.4,96.1,1
145.2,41.6,0
151.3,53.9,0
162.2,67.9,0
171.8,86.5,1
156.0,54.2,0
151.5,48.7,0
178.3,88.2,1
158.3,62.4,0
157.8,60.8,0
174.1,89.4,1
161.4,55.6,0
157.5,56.4,0
158.7,54.5,0
180.3,93.7,1
154.7,54.3,0
170.4,79.8,1
161.6,62.6,0
176.2,79.8,1
164.2,54.1,0
169.2,77.3,1
168.4,77.4,1
177.1,82.8,1
159.1,54.9,0
154.6,52.2,0
169.8,77.9,1
162.2,58.8,0
155.1,47.8,0
156.4,53.6,0
149.1,46.3,0
165.0,73.9,1
176.1,81.8,1
167.1,71.2,0
180.5,85.9,1
182.8,96.0,1
163.8,62.9,0
171.3,84.7,1
171.3,78.1,1
178.5,88.9,1
159.7,62.8,0
165.7,73.4,1
165.9,66.0,0
171.9,82.6,1
157.7,59.1,1
156.5,58.3,0
175.4,87.2,1
165.7,55.9,0
173.4,83.8,1
163.4,63.6,0
158.4,65.1,0
154.0,71.0,1
178.9,85.6,1
160.2,60.6,0
166.3,67.6,0
175.6,87.3,1
156.3,57.3,0
163.0,63.4,0
170.8,77.6,1
172.8,70.0,0
189.0,103.3,1
156.3,57.9,0
147.7,50.8,0
169.3,65.9,0
174.0,93.4,1
157.8,54.0,0
170.9,90.3,1
168.1,57.3,0
172.2,81.6,1
150.5,47.6,0
162.6,66.8,1
176.7,88.0,1
174.1,91.2,1
155.7,55.6,0
172.9,78.8,1
182.4,90.4,1
161.0,68.1,0
165.3,62.2,0
159.3,49.3,0
159.3,55.3,0
173.2,82.1,1
169.2,81.2,1
170.2,82.5,0
153.0,69.8,1
170.8,78.3,0
157.7,51.0,0
152.2,44.6,0
172.1,81.2,1
171.9,87.7,1
181.4,94.0,1
157.7,55.3,0
182.4,91.1,1
165.4,64.5,0
171.8,88.4,1
159.9,54.6,0
164.8,68.0,0
181.2,93.4,1
151.5,45.6,0
173.1,80.4,0
173.3,83.1,1
185.7,97.8,1
173.9,80.2,1
163.7,71.4,1
194.8,106.6,1
185.6,92.4,1
157.7,54.1,0
180.3,90.6,1
165.9,66.6,0
178.3,90.1,1
162.2,58.9,0
161.1,75.1,0
175.4,90.2,1
155.5,47.4,0
172.1,81.1,1
175.9,79.9,1
161.9,68.6,0
155.2,61.3,0
159.9,68.3,0
154.2,40.9,0
178.1,99.7,1
164.8,69.7,0
174.9,76.9,1
175.2,75.7,1
177.8,94.4,1
196.7,105.5,1
157.2,58.8,0
177.6,80.5,1
178.7,85.2,1
156.5,67.1,1
160.5,64.1,0
156.1,58.4,1
167.8,73.3,1
144.9,45.9,0
172.3,84.2,1
184.9,91.5,1
158.4,67.0,0
151.7,52.1,0
169.1,70.7,0
158.0,59.0,0
159.3,54.2,0
174.0,82.7,1
151.0,44.8,0
167.5,74.2,0
186.2,105.3,1
176.2,76.3,0
163.7,68.7,0
159.1,65.2,0
181.0,92.8,1
163.8,61.2,0
176.2,88.2,1
152.6,57.3,0
175.0,79.6,1
173.7,76.7,1
155.5,59.2,0
164.1,63.2,0
173.1,84.9,1
168.9,65.2,0
161.5,65.3,0
161.3,58.7,0
174.4,68.6,0
162.7,64.9,0
177.4,86.3,1
156.7,50.3,0
156.6,54.9,0
168.3,70.2,0
174.3,78.3,0
170.4,82.0,1
158.9,48.9,0
172.2,71.8,1
168.5,78.6,1
164.7,62.5,0
186.6,96.1,1
171.7,80.6,1
155.5,44.8,0
171.7,81.8,1
167.5,68.4,0
159.4,62.4,0
162.6,61.5,0
151.8,56.4,0
165.1,68.5,0
167.6,84.5,1
164.2,58.0,0
178.3,96.9,1
153.8,52.7,0
169.8,72.8,0
175.7,75.4,0
158.1,61.7,0
156.4,55.4,0
163.8,67.8,0
165.9,71.9,0
177.4,88.9,1
170.0,80.3,1
182.4,95.0,1
158.3,50.3,0
179.0,89.8,1
165.1,63.8,0
174.5,85.4,1
184.3,92.4,1
176.3,76.9,1
173.5,80.9,1
161.6,66.5,0
177.2,87.1,1
162.5,71.8,1
161.2,57.8,0
151.6,50.1,0
168.2,79.4,0
178.4,84.3,1
167.1,63.3,0
170.7,87.9,1
171.2,76.4,1
165.6,69.2,0
158.8,64.7,0
171.1,79.2,1
168.5,67.4,0
190.0,108.6,1
151.0,49.0,0
173.9,77.3,1
178.0,85.4,1
146.5,57.1,0
168.1,80.1,1
169.1,69.6,1
151.1,57.0,0
170.6,80.0,1
168.5,74.3,0
172.5,77.5,1
161.1,72.6,1
154.1,54.0,0
147.6,43.7,0
174.6,81.3,1
153.0,55.1,0
160.8,62.9,0
162.5,65.6,0
174.1,85.0,1
167.9,63.6,0
152.9,58.0,0
172.2,81.5,1
181.8,88.3,1
180.2,90.6,1
179.5,93.4,1
171.2,74.2,0
176.8,76.1,0
153.3,49.1,0
155.4,50.9,0
162.7,66.8,0
172.0,79.7,1
163.6,62.8,0
161.5,58.3,0
180.8,88.0,1
152.5,56.6,0
173.2,91.1,1
170.8,70.1,0
161.1,57.1,0
159.7,56.7,0
150.5,45.7,0
173.1,91.4,1
183.7,92.5,1
175.5,83.9,1
165.7,61.0,0
167.6,83.4,1
174.0,82.3,1
160.1,58.6,0
174.5,75.7,0
185.4,101.8,1
181.3,89.5,1
181.6,95.2,1
158.6,58.0,0
156.0,46.8,0
180.5,86.8,1
170.8,75.8,1
161.4,60.6,0
159.7,60.2,0
163.3,55.2,0
160.8,58.5,0
161.8,59.2,0
169.7,78.6,1
165.5,62.8,0
165.2,80.9,1
173.1,87.3,1
187.3,92.5,1
154.8,50.3,0
175.1,82.7,1
164.2,65.2,0
154.7,59.7,0
185.9,92.1,1
174.2,86.6,1
174.3,83.6,1
173.0,85.8,1
165.2,58.7,0
150.1,58.6,0
180.7,95.3,1
171.5,78.7,1
152.2,52.4,0
180.3,84.3,1
173.0,75.7,0
171.3,80.1,1
174.4,82.6,1
171.8,79.3,0
167.1,64.9,0
155.5,51.2,0
159.1,62.6,0
172.4,73.5,1
181.9,94.0,1
179.7,89.7,1
179.8,89.1,1
170.3,65.5,0
166.2,61.1,0
188.2,88.4,1
173.7,92.0,1
187.2,101.4,1
163.0,67.1,0
157.1,58.2,0
156.1,54.8,0
168.3,63.0,0
168.4,61.1,0
174.6,90.6,1
176.4,76.9,1
171.8,80.8,1
176.1,84.2,1
163.8,71.3,0
166.8,62.6,0
175.9,89.0,1
162.5,68.2,0
174.9,81.1,1
160.2,59.5,0
186.4,92.3,1
165.7,64.1,0
171.2,77.2,1
182.5,96.5,1
175.4,80.8,1
166.1,58.7,0
177.7,85.7,1
169.4,71.5,1
180.6,87.9,1
173.6,85.2,1
141.4,38.8,0
167.6,74.9,1
176.1,83.5,1
181.7,84.2,0
155.6,61.6,0
152.3,50.5,0
159.5,54.4,0
169.2,66.0,0
146.7,40.7,0
183.7,89.5,1
148.9,44.7,0
150.8,48.1,0
179.9,83.7,1
155.7,47.6,0
194.4,110.3,1
166.1,67.1,0
181.6,104.2,1
161.4,58.6,0
165.2,62.8,0
169.0,68.0,0
166.3,65.5,0
147.5,43.1,0
152.0,49.0,0
180.6,89.2,1
157.4,57.5,0
187.0,90.2,1
160.2,64.1,0
150.8,51.4,0
161.2,57.3,0
173.4,79.9,1
163.5,63.0,0
163.1,66.1,0
185.0,95.0,1
177.2,90.6,1
160.2,67.6,0
171.9,85.4,1
165.5,62.8,0
173.3,76.3,1
175.0,96.7,1
165.8,76.5,1
182.2,90.1,1
176.6,78.9,1
160.0,68.7,1
171.0,78.5,1
162.2,58.8,0
161.6,70.5,1
170.6,79.9,1
167.1,60.8,0
160.0,59.9,0
165.9,68.9,0
157.8,60.2,0
177.6,96.0,1
150.9,49.5,0
142.5,39.6,0
164.9,67.5,1
168.6,75.4,1
168.2,78.6,0
163.3,54.5,0
174.0,83.3,1
168.1,78.0,0
171.3,75.5,1
177.2,88.9,1
173.3,87.5,1
175.3,89.1,1
168.7,68.5,0
178.7,80.5,1
174.5,82.8,1
161.0,69.0,1
175.5,89.2,1
173.4,76.8,1
169.9,76.9,1
166.8,72.3,0
159.9,56.1,0
183.5,87.8,1
171.9,80.5,0
162.7,57.7,0
159.6,60.1,0
158.3,67.8,1
161.5,54.7,0
178.8,86.1,1
156.9,55.3,0
169.5,69.9,1
175.2,75.3,0
154.7,59.8,0
165.9,62.1,0
161.7,61.6,0
164.1,68.1,0
160.5,63.1,0
179.3,85.5,1
161.4,59.1,0
157.5,58.7,0
165.1,61.0,0
187.2,100.1,1
173.2,74.2,0
183.9,91.4,1
164.4,60.1,0
165.6,65.2,0
165.4,75.2,1
181.8,83.7,1
149.7,50.5,0
146.8,48.9,0
172.7,80.6,1
170.1,87.9,1
157.3,63.5,1
169.4,74.8,0
164.0,58.9,0
171.5,83.3,0
175.8,80.6,1
183.9,90.5,1
169.6,64.8,0
169.4,70.4,1
168.8,84.2,1
160.9,61.2,0
166.1,63.8,0
172.2,83.3,1
165.8,73.2,1
166.1,66.3,1
155.8,57.9,0
156.7,71.0,1
156.5,58.8,0
162.2,53.0,0
177.4,77.8,0
182.2,86.6,1
172.4,69.4,1
157.9,46.8,0
163.2,63.6,0
156.2,55.5,0
166.1,66.3,0
177.1,82.5,1
172.1,67.9,0
165.4,64.2,0
160.4,59.3,0
161.3,51.7,0
169.8,81.9,1
173.9,75.7,1
167.1,73.0,0
161.3,58.5,0
186.1,91.8,1
160.1,57.5,0
162.2,66.1,0
168.0,69.7,0
175.0,79.8,1
181.9,95.4,1
184.8,95.8,1
165.0,65.7,0
174.0,80.2,0
160.9,74.0,0
162.1,64.6,0
163.8,63.5,0
163.2,68.1,0
168.5,75.3,1
163.9,56.5,0
169.6,84.8,1
156.6,54.7,0
178.7,78.9,0
172.5,71.7,0
175.9,80.9,1
173.5,88.2,1
167.2,63.3,1
165.6,79.3,1
155.2,50.7,0
175.6,81.2,1
183.8,90.7,1
147.2,41.5,0
187.1,100.9,1
177.3,73.8,0
174.6,81.9,1
155.0,54.9,0
165.1,67.7,1
173.6,80.0,1
170.2,79.8,1
165.7,63.3,0
151.0,50.7,0
181.2,90.0,1
183.4,90.0,1
162.7,56.9,0
174.7,76.1,1
162.3,62.2,0
163.3,62.9,0
179.9,82.4,1
168.1,62.4,0
160.6,74.6,1
162.4,66.6,0
158.5,73.7,1
187.7,91.8,1
177.1,91.4,1
154.4,51.5,0
171.2,83.4,1
173.8,81.0,1
169.9,73.1,0
173.8,89.0,1
168.1,81.7,1
164.8,60.7,0
182.6,98.4,1
161.4,62.2,0
164.5,64.8,0
180.0,84.9,1
175.7,84.1,1
179.8,93.7,1
163.5,63.2,0
162.0,53.3,0
153.1,55.2,0
171.8,78.1,1
138.7,32.4,0
179.4,85.1,1
171.6,72.9,0
188.0,94.2,1
183.8,96.7,1
152.2,56.9,0
189.5,113.4,1
168.6,78.4,1
146.2,47.7,0
171.3,87.5,1
171.9,77.9,1
177.1,83.5,1
168.4,70.2,0
161.6,62.0,0
156.1,55.7,0
170.6,71.8,1
174.1,81.8,1
164.2,62.7,0
158.3,59.9,0
159.3,54.3,0
178.1,82.5,1
187.7,95.1,1
159.1,56.2,0
171.2,81.7,1
176.8,83.6,1
181.2,83.7,1
175.5,88.3,1
181.8,97.1,1
170.0,68.8,0
159.3,65.9,0
180.8,90.3,1
169.8,74.5,0
173.2,65.5,0
156.5,60.9,0
181.2,90.6,1
153.5,53.6,0
174.0,76.1,1
175.9,79.4,1
167.8,81.0,1
179.1,79.3,1
170.7,76.6,0
176.9,86.0,1
180.7,79.6,1
154.3,61.8,1
171.5,71.7,1
170.3,83.1,1
188.0,97.7,1
172.2,82.8,1
180.0,90.7,1
177.8,81.1,0
164.4,58.4,0
167.2,74.2,1
178.6,84.9,1
165.6,68.3,0
156.1,55.3,0
153.9,44.4,0
170.2,77.0,1
162.8,66.6,0
178.9,87.4,1
175.9,83.8,1
167.0,62.5,0
187.9,90.7,1
155.7,62.2,0
171.0,78.0,1
166.7,78.3,1
157.5,59.8,0
157.9,59.7,0
177.7,81.9,1
179.5,84.3,1
183.4,98.1,1
165.7,58.6,0
181.2,91.6,1
158.9,53.9,0
174.7,85.1,1
165.6,67.6,0
184.1,103.8,1
180.3,95.2,1
169.6,78.4,0
164.3,59.5,0
162.2,72.1,0
178.2,84.0,1
173.5,76.2,0
159.5,48.9,0
169.7,81.6,1
164.1,65.7,0
169.1,82.2,1
163.8,75.6,1
167.0,74.4,1
175.6,83.7,1
161.4,60.5,0
156.2,58.7,0
166.2,71.3,1
157.6,67.7,1
176.6,85.7,1
154.8,53.8,0
